region,site,date,detection_type,species_capture,bd_swab_id,crispr_id
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00178,crswab00166
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00179,crswab00167
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00180,crswab00168
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00181,crswab00169
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00182,crswab00170
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00183,crswab00171
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00184,crswab00172
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00185,crswab00173
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00186,crswab00174
pennsylvania,tuttle_pond,2022-09-09,capture,rana_clamitans,dryswab00187,crswab00175
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00188,crswab00176
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00189,crswab00177
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00190,crswab00178
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00191,crswab00179
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00192,crswab00180
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00193,crswab00181
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00204,crswab00192
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00211,crswab00199
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00206,crswab00194
pennsylvania,tuttle_pond,2022-09-30,capture,rana_clamitans,dryswab00209,crswab00197
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00212,crswab00200
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00216,crswab00204
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00214,crswab00202
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00207,crswab00195
pennsylvania,tuttle_pond,2022-09-30,capture,rana_clamitans,dryswab00215,crswab00203
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00213,crswab00201
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00210,crswab00198
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00217,crswab00205
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00220,crswab00208
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00205,crswab00193
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00218,crswab00206
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00219,crswab00207
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00221,crswab00282
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00222,crswab00210
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00223,crswab00211
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00224,crswab00212
pennsylvania,tuttle_pond,2022-09-30,capture,rana_catesbeiana,dryswab00225,crswab00213
pennsylvania,wood_lab_pond,2022-05-04,capture,pseudacris_crucifer,2022-05-04-wood-pscr1,2022-05-04-wood-pscr1
pennsylvania,rv_pond,2022-09-10,capture,rana_catesbeiana,dryswab00202,crswab00190
pennsylvania,rv_pond,2022-09-10,capture,rana_catesbeiana,dryswab00195,crswab00183
pennsylvania,rv_pond,2022-09-10,capture,rana_catesbeiana,dryswab00194,crswab00182
pennsylvania,rv_pond,2022-09-10,capture,rana_catesbeiana,dryswab00198,crswab00186
pennsylvania,rv_pond,2022-09-10,capture,rana_catesbeiana,dryswab00241,crswab00222
pennsylvania,tryon_weber,2022-08-02,capture,rana_clamitans,dryswab00158,crswab00146
pennsylvania,tryon_weber,2022-08-02,capture,desmognathus_ochrophaeus,dryswab00159,crswab00147
pennsylvania,tryon_weber,2022-08-02,capture,Desmognathaus_sp.,dryswab00160,crswab00148
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00164,crswab00152
